stationId,hierarchy
155.8.0,Bleikvasselva/Røssåga
156.10.0,Langvassåga/Ranavassdraget
156.13.0,Blakkåga/Raudvassåga/Langvassåga/Ranavassdraget
156.15.0,Straumdalselva
156.17.0,Virvasselva/Ranavassdraget
156.19.0,Stormdalsåga/Ranavassdraget
156.24.0,elv fra Bogvatnet/Blakkåga/Raudvassåga/Langvassåga/Ranavassdraget
156.27.0,Leiråga/Trolldalselva/Langvassåga/Ranavassdraget
156.28.0,Trolldalselva/Langvassåga/Ranavassdraget
156.30.0,Plura/Ranavassdraget
156.46.0,Tverråga/Ranavassdraget
156.49.0,Ranavassdraget
156.51.0,Dalselva
156.52.0,Ranavassdraget
156.54.0,Tverråga/Ranavassdraget
156.55.0,Ranavassdraget/Ranafjorden nord
156.56.0,Ranavassdraget
156.63.3,Litlåga/Grønfjellåga/Ranavassdraget
156.8.0,Svartisåga/Raudvassåga/Langvassåga/Ranavassdraget
157.2.0,Isvassåga/Holmelva
157.3.0,Kjerringåga
157.4.0,Flostrandvatn-vassdraget
157.6.0,Holmelva
159.12.0,Engabreelva
159.13.0,Møsbruntuvbekk 0+1/Engabreelva
159.20.0,Fykanåga
159.3.0,Engabreelva
159.34.0,Nordre Litlebrebekken 1/Engabreelva
159.5.0,Østerdalselva
16.1.0,Skiensvassdraget
16.10.0,Heddøla-hjartdøla/Skiensvassdraget
16.101.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.105.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.106.0,Førsvassåi/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.107.0,Førsvassåi/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.110.0,Bora/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.117.0,Vest-vassdraget/Skiensvassdraget
16.118.0,Manndalselvi/Bøelva/Skiensvassdraget
16.119.0,Bøelva/Skiensvassdraget
16.120.0,elv fra Ljosdalsvatnet/Dalaåi/Vest-vassdraget/Skiensvassdraget
16.121.0,Hegneåi/Morgedalsåi/Dalaåi/Vest-vassdraget/Skiensvassdraget
16.122.0,Grovåi/Bøelva/Skiensvassdraget
16.123.0,Bøelva/Skiensvassdraget
16.124.0,Dalåi/Vest-vassdraget/Skiensvassdraget
16.125.0,Bitu/Vest-vassdraget/Skiensvassdraget
16.127.0,Austbygdåi/Skiensvassdraget
16.128.0,Austbygdåi/Skiensvassdraget
16.129.0,Rukkeåi/Vest-vassdraget/Skiensvassdraget
16.130.0,Vest-vassdraget/Skiensvassdraget
16.133.0,Skiensvassdraget
16.138.0,Vest-vassdraget/Skiensvassdraget
16.140.0,Skiensvassdraget
16.142.0,Gøyst/Skiensvassdraget
16.143.0,Vae/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.144.0,Kåvsåi/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.149.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.15.0,Skiensvassdraget
16.150.0,Mår/Skiensvassdraget
16.154.0,Skiensvassdraget
16.155.0,Skogsåi/Heddøla-hjartdøla/Skiensvassdraget
16.156.0,Grunnåi/Bøelva/Skiensvassdraget
16.17.0,Skiensvassdraget
16.18.0,Skiensvassdraget
16.183.0,Bøelva/Skiensvassdraget
16.184.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.185.0,Vest-vassdraget/Skiensvassdraget
16.187.0,Vest-vassdraget/Skiensvassdraget
16.188.0,Vae/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.189.0,Grytåi/Vest-vassdraget/Skiensvassdraget
16.193.0,Hørteelva/Bøelva/Skiensvassdraget
16.194.0,Kileåi/Vest-vassdraget/Skiensvassdraget
16.195.0,Heddøla-hjartdøla/Skiensvassdraget
16.196.0,Vest-vassdraget/Skiensvassdraget
16.197.0,Vest-vassdraget/Skiensvassdraget
16.198.0,Skiensvassdraget
16.202.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.212.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.217.0,Vest-vassdraget/Skiensvassdraget
16.222.0,Bøelva/Skiensvassdraget
16.228.0,Heddøla-hjartdøla/Skiensvassdraget
16.23.0,Skiensvassdraget
16.231.10,Bøelva/Skiensvassdraget
16.231.12,Bøelva/Skiensvassdraget
16.231.4,Bøelva/Skiensvassdraget
16.231.9,Bøelva/Skiensvassdraget
16.232.1,Grosetåe/Skiensvassdraget
16.232.14,Grosetåe/Skiensvassdraget
16.233.0,Grosetåe/Skiensvassdraget
16.24.0,Mår/Skiensvassdraget
16.261.1,Tansåi/Vest-vassdraget/Skiensvassdraget
16.27.0,Gøyst/Skiensvassdraget
16.40.0,Vest-vassdraget/Skiensvassdraget
16.455.0,Mår/Skiensvassdraget
16.490.0,Rusåi/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.491.0,Bøelva/Skiensvassdraget
16.492.0,Dalaåi/Vest-vassdraget/Skiensvassdraget
16.497.0,Skiensvassdraget
16.5.0,Håkastulelva/Falkumselva/Skiensvassdraget
16.51.0,Bøelva/Skiensvassdraget
16.521.0,Skiensvassdraget
16.522.0,Skiensvassdraget
16.523.0,Skiensvassdraget
16.524.0,Skiensvassdraget
16.529.0,Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.530.0,Rukkeåi/Vest-vassdraget/Skiensvassdraget
16.531.0,Vest-vassdraget/Skiensvassdraget
16.532.0,Gjuva/Skogsåi/Heddøla-hjartdøla/Skiensvassdraget
16.6.0,Vest-vassdraget/Skiensvassdraget
16.61.0,Falkumselva/Skiensvassdraget
16.62.0,Falkumselva/Skiensvassdraget
16.66.0,Grosetåe/Skiensvassdraget
16.7.0,Skiensvassdraget
16.72.0,Bora/Vinjeåi/Vest-vassdraget/Skiensvassdraget
16.75.0,Tansåi/Vest-vassdraget/Skiensvassdraget
16.78.0,Rukkeåi/Vest-vassdraget/Skiensvassdraget
16.87.0,Bonsåi/Skogsåi/Heddøla-hjartdøla/Skiensvassdraget
16.88.0,Kova/Skogsåi/Heddøla-hjartdøla/Skiensvassdraget
16.89.0,Kova/Skogsåi/Heddøla-hjartdøla/Skiensvassdraget
16.90.0,Heddøla-hjartdøla/Skiensvassdraget
16.91.0,Vangsåi/Bjordøla/Heddøla-hjartdøla/Skiensvassdraget
160.1.0,Fykanåga
160.10.0,elv fra Navervatna/Fykanåga
160.11.0,elv fra Navervatna/Fykanåga
160.14.0,bekk fra Namnlausvatnet/Fykanåga
160.7.0,Skauvollelva
160.9.0,Lysvasselva/Spilderelva
161.11.0,Beiarelva
161.13.0,Neveråga/Arstadåga/Beiarelva
161.14.0,Sokumåga/Arstadåga/Beiarelva
161.15.0,Sundfjordelva
161.16.0,Forsåga
161.17.0,Arstadåga/Beiarelva
161.18.0,Beiarelva
161.30.0,Tollåga/Beiarelva
161.31.0,Beiarelva
161.45.0,Beiarelva
161.47.0,Sundfjordelva
161.7.0,Tollåga/Beiarelva
162.3.0,Lakselva
162.8.0,Valnesforsen
163.19.0,Saltdalsvassdraget
163.23.0,Saltdalsvassdraget
163.24.0,Junkerdalselva/Saltdalsvassdraget
